source volt (V),voltmeter reading (V),ampmeter reading (mA),volt_unc (V),amp_unc (mA)
0,0,0,0,0
0.5,0.4897,5.8,0.00074485,0.00616
1,0.9845,8.394,0.00099225,0.0066788
1.5,1.4807,10.534,0.00124035,0.0071068
2,1.977,12.407,0.0014885,0.0074814
2.5,2.4721,14.191,0.00173605,0.0078382
3,2.9692,15.838,0.0019846,0.0081676
3.5,3.466,17.377,0.003733,0.0084754
4,3.963,18.803,0.0039815,0.0087606
4.5,4.46,20.187,0.00423,0.0090374
5,4.957,21.591,0.0044785,0.0093182
5.5,5.455,22.921,0.0047275,0.0095842
6,5.953,24.207,0.0049765,0.0098414
6.5,6.451,25.436,0.0052255,0.0100872
7,6.949,26.603,0.0054745,0.0103206
7.5,7.446,27.75,0.005723,0.01055
8,7.994,28.862,0.005997,0.0107724
8.5,8.442,29.942,0.006221,0.0109884
9,8.942,31.329,0.006471,0.0112658
9.5,9.438,32.43,0.006719,0.011486
10,9.936,33.46,0.006968,0.011692
10.5,10.434,34.47,0.007217,0.011894
11,10.935,35.89,0.0074675,0.012178
11.5,11.43,36.81,0.007715,0.012362
12,11.928,37.74,0.007964,0.012548
12.5,12.426,38.65,0.008213,0.01273
13,12.925,39.55,0.0084625,0.01291
0.1,0.0964,2.043,0.0000982,0.0054086
-0.1,-0.0962,-2.123,0.0000981,0.0054246
-0.5,-0.4875,-7.009,0.00074375,0.0064018
-1,-0.9823,-9.563,0.00099115,0.0069126
-1.5,-1.4784,-11.666,0.0012392,0.0073332
-2,-1.9749,-13.569,0.00148745,0.0077138
-2.5,-2.4717,-15.316,0.00173585,0.0080632
-3,-2.9675,-16.937,0.00198375,0.0083874
-3.5,-3.465,-18.467,0.0037325,0.0086934
-4,-3.961,-19.917,0.0039805,0.0089834
-4.5,-4.459,-21.299,0.0042295,0.0092598
-5,-4.957,-22.623,0.0044785,0.0095246
