x-axis,1,2,F1
second,Volt,Volt,Volt
-50.00000E-06,-216.35522196E-03,-538.22957218E-03,+321.70771918E-03
-49.95000E-06,-638.40820019E-03,-1.03058352246E+00,+391.98836347E-03
-49.90000E-06,-552.62768540E-03,-1.19768207490E+00,+644.76866172E-03
-49.85000E-06,-530.52210708E-03,-1.17712301000E+00,+646.30713089E-03
-49.80000E-06,-541.60824539E-03,-1.14260865663E+00,+600.73173811E-03
-49.75000E-06,-547.21152091E-03,-1.13670658990E+00,+589.22862694E-03
-49.70000E-06,-546.65018405E-03,-1.13711662786E+00,+590.19221073E-03
-49.65000E-06,-545.71174568E-03,-1.13278608500E+00,+586.80730105E-03
-49.60000E-06,-545.63944678E-03,-1.12696615400E+00,+581.06105121E-03
-49.55000E-06,-546.84525501E-03,-1.12230886220E+00,+575.21008564E-03
-49.50000E-06,-547.21296817E-03,-1.11699759009E+00,+569.52881848E-03
-49.45000E-06,-547.46388676E-03,-1.11263815858E+00,+564.92160954E-03
-49.40000E-06,-547.94767087E-03,-1.10757182757E+00,+559.36741551E-03
-49.35000E-06,-548.48461539E-03,-1.10243440372E+00,+553.69739150E-03
-49.30000E-06,-549.39609479E-03,-1.09794561964E+00,+548.30049609E-03
-49.25000E-06,-549.94511487E-03,-1.09257849990E+00,+542.38542089E-03
-49.20000E-06,-550.24662723E-03,-1.08779759180E+00,+537.30362661E-03
-49.15000E-06,-551.08544592E-03,-1.08309287587E+00,+531.76823328E-03
-49.10000E-06,-551.42780190E-03,-1.07860200758E+00,+526.92287209E-03
-49.05000E-06,-552.16274581E-03,-1.07369588140E+00,+521.28675331E-03
-49.00000E-06,-552.61435102E-03,-1.06985510014E+00,+516.99961082E-03
-48.95000E-06,-553.14531805E-03,-1.06461319848E+00,+511.23569586E-03
-48.90000E-06,-553.81795443E-03,-1.06027864174E+00,+506.22308902E-03
-48.85000E-06,-554.49961734E-03,-1.05575022009E+00,+501.01246495E-03
-48.80000E-06,-554.81673674E-03,-1.05078459421E+00,+495.73406205E-03
-48.75000E-06,-554.84586660E-03,-1.04655026017E+00,+491.47962478E-03
-48.70000E-06,-555.34052024E-03,-1.04187090143E+00,+486.29885704E-03
-48.65000E-06,-555.80115197E-03,-1.03709473084E+00,+481.06050362E-03
-48.60000E-06,-556.25785651E-03,-1.03285626232E+00,+476.37296019E-03
-48.55000E-06,-556.82918474E-03,-1.02838806399E+00,+471.32742314E-03
-48.50000E-06,-557.27858514E-03,-1.02415617598E+00,+466.66071598E-03
-48.45000E-06,-557.52400867E-03,-1.01988890548E+00,+462.15438248E-03
-48.40000E-06,-558.07302875E-03,-1.01457775398E+00,+456.28563928E-03
-48.35000E-06,-558.16835942E-03,-1.01038217936E+00,+452.00856101E-03
-48.30000E-06,-558.65751800E-03,-1.00587108713E+00,+446.99367250E-03
-48.25000E-06,-558.98976200E-03,-1.00097981043E+00,+441.77555534E-03
-48.20000E-06,-559.16545325E-03,-997.36483177E-03,+437.99933509E-03
-48.15000E-06,-559.71909025E-03,-992.69036507E-03,+432.75817967E-03
-48.10000E-06,-560.27444963E-03,-988.46846842E-03,+427.99421822E-03
-48.05000E-06,-560.34077104E-03,-984.11537620E-03,+423.57186615E-03
-48.00000E-06,-560.78162734E-03,-979.36969605E-03,+418.39291368E-03
-47.95000E-06,-561.47476279E-03,-975.15558596E-03,+413.49029376E-03
-47.90000E-06,-561.82237262E-03,-971.12438457E-03,+409.10001524E-03
-47.85000E-06,-562.10815734E-03,-966.67263751E-03,+404.37811189E-03
-47.80000E-06,-562.24276376E-03,-962.89953823E-03,+400.47220988E-03
-47.75000E-06,-562.42868759E-03,-958.76651235E-03,+396.13868150E-03
-47.70000E-06,-563.79554487E-03,-953.91294354E-03,+389.92589137E-03
-47.65000E-06,-564.03109763E-03,-950.18955988E-03,+385.97045459E-03
-47.60000E-06,-564.11206124E-03,-945.55834890E-03,+381.25666074E-03
-47.55000E-06,-564.43303999E-03,-942.03789060E-03,+377.42573533E-03
-47.50000E-06,-565.59951970E-03,-938.03606028E-03,+372.26609332E-03
-47.45000E-06,-565.95708697E-03,-933.79194217E-03,+367.64733068E-03
-47.40000E-06,-566.10132295E-03,-930.04552674E-03,+363.75741213E-03
-47.35000E-06,-566.90977180E-03,-926.16305763E-03,+359.07486097E-03
-47.30000E-06,-567.43588072E-03,-921.70267978E-03,+354.09445660E-03
-47.25000E-06,-567.42199607E-03,-918.23474493E-03,+350.64004893E-03
-47.20000E-06,-568.06278144E-03,-914.01822274E-03,+345.77582728E-03
-47.15000E-06,-567.97527125E-03,-909.59259042E-03,+341.45394401E-03
-47.10000E-06,-568.92278891E-03,-906.02575952E-03,+336.93697206E-03
-47.05000E-06,-569.34031946E-03,-902.05867473E-03,+332.56311178E-03
-47.00000E-06,-569.60874084E-03,-898.25861648E-03,+328.48157571E-03
-46.95000E-06,-570.27226401E-03,-894.66703142E-03,+324.23030489E-03
-46.90000E-06,-571.47052689E-03,-890.48534144E-03,+318.84294986E-03
-46.85000E-06,-571.41772830E-03,-886.84087110E-03,+315.25607484E-03
-46.80000E-06,-571.76726781E-03,-883.32415156E-03,+311.39273953E-03
-46.75000E-06,-572.57318396E-03,-879.28893628E-03,+306.55645700E-03
-46.70000E-06,-573.11305692E-03,-875.55018681E-03,+302.28522297E-03
-46.65000E-06,-572.89199183E-03,-871.96497496E-03,+298.92131480E-03
-46.60000E-06,-573.70774482E-03,-868.66186184E-03,+294.79880347E-03
-46.55000E-06,-574.00002336E-03,-865.26374595E-03,+291.10383414E-03
-46.50000E-06,-574.83410454E-03,-860.80886316E-03,+285.83233019E-03
-46.45000E-06,-574.95554995E-03,-857.21169635E-03,+282.09891219E-03
-46.40000E-06,-575.64925451E-03,-853.40895087E-03,+277.60367653E-03
-46.35000E-06,-575.98916446E-03,-849.68753082E-03,+273.55447184E-03
-46.30000E-06,-576.33251920E-03,-846.43893867E-03,+269.96752767E-03
-46.25000E-06,-577.06356983E-03,-843.26460902E-03,+266.06368234E-03
-46.20000E-06,-577.25864079E-03,-839.57473093E-03,+262.17532827E-03
-46.15000E-06,-577.50285826E-03,-835.55439906E-03,+257.91593623E-03
-46.10000E-06,-577.93260383E-03,-832.16048550E-03,+254.09882510E-03
-46.05000E-06,-578.44226148E-03,-828.66507534E-03,+250.09171132E-03
-46.00000E-06,-578.33545826E-03,-825.20942335E-03,+246.74153774E-03
-45.95000E-06,-579.02442531E-03,-821.26428489E-03,+242.10030521E-03
-45.90000E-06,-579.81041149E-03,-818.22600893E-03,+238.27675570E-03
-45.85000E-06,-579.95640378E-03,-814.34245437E-03,+234.25158537E-03
-45.80000E-06,-580.01454290E-03,-811.20452480E-03,+231.05833541E-03
-45.75000E-06,-580.53877490E-03,-807.52386168E-03,+226.85542513E-03
-45.70000E-06,-580.87534184E-03,-804.01456687E-03,+223.01456088E-03
-45.65000E-06,-580.86547108E-03,-800.98583377E-03,+219.99904853E-03
-45.60000E-06,-580.95337700E-03,-797.76533881E-03,+216.69555031E-03
-45.55000E-06,-581.42031412E-03,-793.94192089E-03,+212.39506933E-03
-45.50000E-06,-581.63343813E-03,-790.44818036E-03,+208.69968046E-03
-45.45000E-06,-582.34278364E-03,-787.27800404E-03,+204.81293423E-03
-45.40000E-06,-582.26957267E-03,-783.55220829E-03,+201.16510901E-03
-45.35000E-06,-582.64066278E-03,-780.03367966E-03,+197.27077594E-03
-45.30000E-06,-583.40613105E-03,-776.18891844E-03,+192.67550626E-03
-45.25000E-06,-583.34413257E-03,-773.20829918E-03,+189.74329680E-03
-45.20000E-06,-583.69318966E-03,-770.09844794E-03,+186.29300248E-03
-45.15000E-06,-584.31135783E-03,-766.93739991E-03,+182.51613770E-03
-45.10000E-06,-584.57710705E-03,-763.84653265E-03,+179.16311056E-03
-45.05000E-06,-585.34876010E-03,-760.40881311E-03,+174.95530059E-03
-45.00000E-06,-585.62391651E-03,-757.60047424E-03,+171.87096526E-03
-44.95000E-06,-586.31801680E-03,-754.08644192E-03,+167.66431196E-03
-44.90000E-06,-586.19769076E-03,-750.82287969E-03,+164.53190906E-03
-44.85000E-06,-586.83012047E-03,-747.66901519E-03,+160.73550646E-03
-44.80000E-06,-586.92405664E-03,-744.58460783E-03,+157.56921942E-03
-44.75000E-06,-587.67856871E-03,-741.09774178E-03,+153.33007067E-03
-44.70000E-06,-587.79088583E-03,-738.33438101E-03,+150.45669263E-03
-44.65000E-06,-588.60710240E-03,-734.96229318E-03,+146.27080645E-03
-44.60000E-06,-588.98501422E-03,-731.83981611E-03,+142.76649955E-03
-44.55000E-06,-589.33470825E-03,-729.04298371E-03,+139.61620652E-03
-44.50000E-06,-589.78221289E-03,-725.78813895E-03,+135.91505076E-03
-44.45000E-06,-590.37424749E-03,-722.61024392E-03,+132.15215143E-03
-44.40000E-06,-590.75784282E-03,-719.62914223E-03,+128.78143105E-03
-44.35000E-06,-590.87837615E-03,-716.91265533E-03,+125.93971054E-03
-44.30000E-06,-591.69826363E-03,-713.72399254E-03,+121.94899506E-03
-44.25000E-06,-591.77311030E-03,-710.84208088E-03,+118.98374406E-03
-44.20000E-06,-592.27892744E-03,-707.60671759E-03,+115.24713734E-03
-44.15000E-06,-592.96985808E-03,-704.50646199E-03,+111.45693758E-03
-44.10000E-06,-593.42664931E-03,-701.62325760E-03,+108.11931264E-03
-44.05000E-06,-593.40180846E-03,-698.52246681E-03,+105.04201571E-03
-44.00000E-06,-593.79215766E-03,-695.34970503E-03,+101.47086633E-03
-43.95000E-06,-594.02934613E-03,-692.66410430E-03,+98.55864703E-03
-43.90000E-06,-594.81980977E-03,-689.54278052E-03,+94.65693455E-03
-43.85000E-06,-594.96566638E-03,-686.81600828E-03,+91.78242093E-03
-43.80000E-06,-595.52936258E-03,-684.02312191E-03,+88.42711681E-03
-43.75000E-06,-595.04916269E-03,-680.49982186E-03,+85.37246554E-03
-43.70000E-06,-596.18744345E-03,-677.93464893E-03,+81.68522368E-03
-43.65000E-06,-596.12027780E-03,-675.21326999E-03,+79.02729010E-03
-43.60000E-06,-596.05752177E-03,-672.30260536E-03,+76.17405222E-03
-43.55000E-06,-596.72330252E-03,-669.35468134E-03,+72.56427839E-03
-43.50000E-06,-597.08700180E-03,-666.17744210E-03,+69.02744909E-03
-43.45000E-06,-597.40861750E-03,-663.45003291E-03,+65.97253650E-03
-43.40000E-06,-597.40985747E-03,-660.63959099E-03,+63.16655172E-03
-43.35000E-06,-597.76546114E-03,-658.00394709E-03,+60.16553451E-03
-43.30000E-06,-598.26476561E-03,-655.29209217E-03,+56.96211251E-03
-43.25000E-06,-598.27591026E-03,-652.43409044E-03,+54.09766077E-03
-43.20000E-06,-598.46080141E-03,-649.39149154E-03,+50.87119582E-03
-43.15000E-06,-598.75669810E-03,-646.50747684E-03,+47.68479557E-03
-43.10000E-06,-599.63315684E-03,-643.70676999E-03,+44.02226309E-03
-43.05000E-06,-599.19533074E-03,-641.06361467E-03,+41.80773075E-03
-43.00000E-06,-599.55177865E-03,-638.69459815E-03,+39.09483301E-03
-42.95000E-06,-600.25487155E-03,-635.81589006E-03,+35.51735306E-03
-42.90000E-06,-600.32889283E-03,-633.24470573E-03,+32.86236913E-03
-42.85000E-06,-600.40496440E-03,-630.51569476E-03,+30.05825000E-03
-42.80000E-06,-600.54666767E-03,-628.12487135E-03,+27.53050679E-03
-42.75000E-06,-600.93786111E-03,-625.47411792E-03,+24.48330525E-03
-42.70000E-06,-601.18914151E-03,-622.70360754E-03,+21.46976402E-03
-42.65000E-06,-601.64446663E-03,-619.81623474E-03,+18.13453561E-03
-42.60000E-06,-601.58434884E-03,-617.72020373E-03,+16.08510669E-03
-42.55000E-06,-602.08673627E-03,-614.93891052E-03,+12.80569089E-03
-42.50000E-06,-602.81154936E-03,-612.34004359E-03,+9.47356917E-03
-42.45000E-06,-603.19521630E-03,-609.27296565E-03,+6.02892924E-03
-42.40000E-06,-602.69682391E-03,-607.07347446E-03,+4.32440741E-03
-42.35000E-06,-603.48387670E-03,-604.21206187E-03,+690.08241E-06
-42.30000E-06,-603.77298559E-03,-602.19935381E-03,-1.59328697E-03
-42.25000E-06,-603.81035051E-03,-599.01115836E-03,-4.81014239E-03
-42.20000E-06,-604.70320775E-03,-596.92958111E-03,-7.79032332E-03
