MM1(A),MM2(V),PS(V),PathDiam(cm),MM1_unc,MM2_unc,PS_unc,PathDiam_unc(cm)
-0.931,150.03,149.9,11.4,0.001,0.02,0.6,0.2
-0.963,150.02,149.9,11,0.001,0.02,0.6,0.2
-0.996,150.01,149.9,10.6,0.001,0.02,0.6,0.2
-1.021,150.00,149.9,10.5,0.002,0.02,0.6,0.2
-1.052,150.00,149.9,10.2,0.002,0.02,0.6,0.2
-1.102,150.00,149.9,9.9,0.002,0.02,0.6,0.2
-1.148,149.99,149.9,9.4,0.002,0.02,0.6,0.2
-1.204,149.99,149.9,8.8,0.002,0.02,0.6,0.2
-1.276,149.98,149.9,8.3,0.002,0.02,0.6,0.2
-1.320,149.98,149.9,8.1,0.002,0.02,0.6,0.2
-1.403,149.98,149.9,7.6,0.003,0.02,0.6,0.2
-1.506,149.98,149.9,7.1,0.003,0.02,0.6,0.2
-1.614,149.97,149.9,6.8,0.003,0.02,0.6,0.2
-1.701,149.97,149.9,6.3,0.003,0.02,0.6,0.2
-1.811,149.97,149.9,5.9,0.004,0.02,0.6,0.2
-1.924,149.96,149.9,5.6,0.004,0.02,0.6,0.2
-2.026,149.97,149.9,5.4,0.004,0.02,0.6,0.2
