MM1(A),MM2(V),PS(V),PathDiam(cm)
-0.930631,150.028,149.9,11.4
-0.963404,150.019,149.9,11
-0.995861,150.009,149.9,10.6
-1.021034,150.001,149.9,10.5
-1.051908,150,149.9,10.2
-1.101666,149.995,149.9,9.9
-1.147833,149.989,149.9,9.4
-1.204021,149.985,149.9,8.8
-1.275717,149.979,149.9,8.3
-1.319532,149.976,149.9,8.1
-1.403046,149.976,149.9,7.6
-1.506358,149.975,149.9,7.1
-1.61404,149.972,149.9,6.8
-1.701312,149.969,149.9,6.3
-1.811478,149.969,149.9,5.9
-1.923724,149.964,149.9,5.6
-2.026294,149.966,149.9,5.4
